target,ids,date,flag,user,text,Tokens,POS_Tags
0,1467810369,Mon Apr 06 22:19:45 PDT 2009,NO_QUERY,_TheSpecialOne_,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D","['switchfoot', 'httptwitpiccom2y1zl', 'awww', 'thats', 'bummer', 'shoulda', 'got', 'david', 'carr', 'third', 'day']","[('switchfoot', 'NN'), ('httptwitpiccom2y1zl', 'NN'), ('awww', 'NN'), ('thats', 'NNS'), ('bummer', 'VBP'), ('shoulda', 'NN'), ('got', 'VBD'), ('david', 'JJ'), ('carr', 'JJ'), ('third', 'JJ'), ('day', 'NN')]"
0,1467810672,Mon Apr 06 22:19:49 PDT 2009,NO_QUERY,scotthamilton,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,"['upset', 'cant', 'update', 'facebook', 'texting', 'might', 'cry', 'result', 'school', 'today', 'also', 'blah']","[('upset', 'JJ'), ('cant', 'NN'), ('update', 'JJ'), ('facebook', 'NN'), ('texting', 'VBG'), ('might', 'MD'), ('cry', 'VB'), ('result', 'NN'), ('school', 'NN'), ('today', 'NN'), ('also', 'RB'), ('blah', 'VBD')]"
0,1467810917,Mon Apr 06 22:19:53 PDT 2009,NO_QUERY,mattycus,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,"['kenichan', 'dived', 'many', 'times', 'ball', 'managed', 'save', '50', 'rest', 'go', 'bounds']","[('kenichan', 'NNS'), ('dived', 'VBD'), ('many', 'JJ'), ('times', 'NNS'), ('ball', 'VBP'), ('managed', 'VBN'), ('save', 'VBP'), ('50', 'CD'), ('rest', 'NN'), ('go', 'VB'), ('bounds', 'NNS')]"
0,1467811184,Mon Apr 06 22:19:57 PDT 2009,NO_QUERY,ElleCTF,my whole body feels itchy and like its on fire ,"['whole', 'body', 'feels', 'itchy', 'like', 'fire']","[('whole', 'JJ'), ('body', 'NN'), ('feels', 'NNS'), ('itchy', 'VBP'), ('like', 'IN'), ('fire', 'NN')]"
0,1467811193,Mon Apr 06 22:19:57 PDT 2009,NO_QUERY,Karoli,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ","['nationwideclass', 'behaving', 'im', 'mad', 'cant', 'see']","[('nationwideclass', 'NN'), ('behaving', 'VBG'), ('im', 'JJ'), ('mad', 'JJ'), ('cant', 'NN'), ('see', 'NN')]"
0,1467811372,Mon Apr 06 22:20:00 PDT 2009,NO_QUERY,joy_wolf,@Kwesidei not the whole crew ,"['kwesidei', 'whole', 'crew']","[('kwesidei', 'JJ'), ('whole', 'JJ'), ('crew', 'NN')]"
0,1467811592,Mon Apr 06 22:20:03 PDT 2009,NO_QUERY,mybirch,Need a hug ,"['need', 'hug']","[('need', 'NN'), ('hug', 'NN')]"
0,1467811594,Mon Apr 06 22:20:03 PDT 2009,NO_QUERY,coZZ,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?","['loltrish', 'hey', 'long', 'time', 'see', 'yes', 'rains', 'bit', 'bit', 'lol', 'im', 'fine', 'thanks', 'hows']","[('loltrish', 'JJ'), ('hey', 'NN'), ('long', 'JJ'), ('time', 'NN'), ('see', 'VB'), ('yes', 'RB'), ('rains', 'NNS'), ('bit', 'VBP'), ('bit', 'JJ'), ('lol', 'JJ'), ('im', 'NN'), ('fine', 'JJ'), ('thanks', 'NNS'), ('hows', 'NNS')]"
0,1467811795,Mon Apr 06 22:20:05 PDT 2009,NO_QUERY,2Hood4Hollywood,@Tatiana_K nope they didn't have it ,"['tatianak', 'nope', 'didnt']","[('tatianak', 'NNS'), ('nope', 'VBP'), ('didnt', 'NN')]"
0,1467812025,Mon Apr 06 22:20:09 PDT 2009,NO_QUERY,mimismo,@twittera que me muera ? ,"['twittera', 'que', 'muera']","[('twittera', 'NN'), ('que', 'NN'), ('muera', 'NN')]"
